MODELO,MEDIDAS,FOCO,CATEGORY,DESCRIPTION,FINISH,LEVEL,TYPE LIGHT,WATTS
00974-4,40 Ø X 130 ALTO,4,WILLIAMS KRUSTAL,,,,,
00963-4,40 Ø X 130 ALTO,4,WILLIAMS KRUSTAL,,,,,
00987-60,30 ANCHO X 60 LARGO X65 ALTO,6,WILLIAMS KRUSTAL,,,,,
00987-6,30 ANCHO X 80 LARGO X 65 ALTO,6,WILLIAMS KRUSTAL,,,,,
00987-10,30 ANCHO X 100 LARGO X 65 ALTO,10,WILLIAMS KRUSTAL,,,,,
00990-5,40 Ø X 65 ALTO,5,WILLIAMS KRUSTAL,,,,,
00990-6,50 Ø X 65 ALTO,6,WILLIAMS KRUSTAL,,,,,
00990-9,60 Ø X 65 ALTO ,10,WILLIAMS KRUSTAL,,,,,
00986-60,30 ANCHO X 60 LARGO X 65 ALTO,5,WILLIAMS KRUSTAL,,,,,
00986-7,30 ANCHO X 80 LARGO X 65 ALTO,7,WILLIAMS KRUSTAL,,,,,
00986-9,30 ANCHO X 100 LARGO X 65 ALTO,9,WILLIAMS KRUSTAL,,,,,
00982-5,40 ANCHO X 40 LARGO X 65 ALTO,5,WILLIAMS KRUSTAL,,,,,
00982-8,50 ANCHO X 50 LARGO X 65 ALTO,8,WILLIAMS KRUSTAL,,,,,
00976-4,30 Ø X 45 ALTO,4,WILLIAMS KRUSTAL,,,,,
00976-5,40 Ø X 100 ALTO,5,WILLIAMS KRUSTAL,,,,,
00975-8,50 Ø X 200 ALTO,8,WILLIAMS KRUSTAL,,,,,
00980-5,30 ANCHO X 60 LARGO X 65 ALTO,5,WILLIAMS KRUSTAL,,,,,
00980-6,30 ANCHO X 80 LARGO X 65 ALTO,6,WILLIAMS KRUSTAL,,,,,
00980-10,30 ANCHO X 100 LARGO X 65 ALTO,10,WILLIAMS KRUSTAL,,,,,
00928-4,50 ANCHO X 65 LARGO X 35 ALTO,4,WILLIAMS KRUSTAL,,,,,
10930-4,30 Ø X 50 ALTO,4,WILLIAMS KRUSTAL,,,,,
10940-5,40 Ø X 60 ALTO,5,WILLIAMS KRUSTAL,,,,,
00926-6,50 Ø X 70 ALTO,6,WILLIAMS KRUSTAL,,,,,
10960-9,60 Ø X 80 ALTO ,9,WILLIAMS KRUSTAL,,,,,
10970-9,70 Ø X 100 ALTO,9,WILLIAMS KRUSTAL,,,,,
10980-12,80 Ø X 130 ALTO,12,WILLIAMS KRUSTAL,,,,,
10100-13,100 Ø X 165 ALTO,13,WILLIAMS KRUSTAL,,,,,
00992-4,30 ANCHO X 30 LARGO X 60 ALTO,4,WILLIAMS KRUSTAL,,,,,
00992-5,40 ANCHO X 40 LARGO X 60 ALTO,5,WILLIAMS KRUSTAL,,,,,
00992-8,50 ANCHO X 50 LARGO X 60 ALTO,8,WILLIAMS KRUSTAL,,,,,
MD0024-5,40 Ø X 135 ALTO,5,WILLIAMS KRUSTAL,,,,,
MD0024-12,80 Ø X 245 ALTO,12,WILLIAMS KRUSTAL,,,,,
00955-6,40 Ø X 140 ALTO,6,WILLIAMS KRUSTAL,,,,,
00955-10,70 Ø X 220 ALTO,10,WILLIAMS KRUSTAL,,,,,
00955-11,70Ø X 320 ALTO,11,WILLIAMS KRUSTAL,,,,,
00955-12,80Ø X 450 ALTO,12,WILLIAMS KRUSTAL,,,,,
MD0025-5,40 Ø X 150 ALTO,5,WILLIAMS KRUSTAL,,,,,
Z1280-12,80 ANCHO X 80 LARGO X 290 ALTO,12,WILLIAMS KRUSTAL,,,,,
Z1260-9,60 ANCHO X 60 LARGO X 200 ALTO,9,WILLIAMS KRUSTAL,,,,,
15940-5,40 Ø X 200 ALTO,5,WILLIAMS KRUSTAL,,,,,
00318-4,30 Ø X 70 ALTO,4,WILLIAMS KRUSTAL,,,,,
00318-5,50 Ø X 90 ALTO,5,WILLIAMS KRUSTAL,,,,,
00318-12,80 Ø X 140 ALTO,12,WILLIAMS KRUSTAL,,,,,
00958-5,50 ANCHO X 65 LARGO X 55 ALTO,5,WILLIAMS KRUSTAL,,,,,
00301-5,50 ANCHO X 50 LARGO X 70 ALTO,5,WILLIAMS KRUSTAL,,,,,
00302-5,12 ANCHO X 80 LARGO X 80 ALTO,5,WILLIAMS KRUSTAL,,,,,
00967-4,50 ANCHO X 65 LARGO X 50 ALTO,4,WILLIAMS KRUSTAL,,,,,
00304-8,70 Ø X 200 ALTO,8,WILLIAMS KRUSTAL,,,,,
00305-3,12 ANCHO X 60 ANCHO X 40 ALTO,3,WILLIAMS KRUSTAL,,,,,
00307-6,30 ANCHO X 80 LARGO X 70 ALTO,6,WILLIAMS KRUSTAL,,,,,
00308-5,12 ANCHO X 80 LARGO X 60 ALTO,5,WILLIAMS KRUSTAL,,,,,
00309-6,30 ANCHO X 80 LARGO X 55 ALTO,6,WILLIAMS KRUSTAL,,,,,
00310-8,50 Ø X 200 ALTO,8,WILLIAMS KRUSTAL,,,,,
00313-5,40 Ø X 80 ALTO,5,WILLIAMS KRUSTAL,,,,,
CORAZON,27 ANCHO X 50 LARGO X 55 ALTO,6,WILLIAMS KRUSTAL,,,,,
ESTRELLA,27 ANCHO X 50 LARGO X 70 ALTO,8,WILLIAMS KRUSTAL,,,,,
C00955-5,40 ANCHO X 40 LARGO X 140 ALTO,5,WILLIAMS KRUSTAL,,,,,
C00955-9,60 ANCHO X 60 LARGO X 2.20 ALTO,9,WILLIAMS KRUSTAL,,,,,
C00955-10,70 ANCHO X 70 LARGO X 270 ALTO,10,WILLIAMS KRUSTAL,,,,,
00314-8,50 ANCHO X 50 LARGO X 45 ALTO,8,WILLIAMS KRUSTAL,,,,,
00315-5,50 Ø X 100 ALTO,5,WILLIAMS KRUSTAL,,,,,
00317-5,40 Ø X 160 ALTO,5,WILLIAMS KRUSTAL,,,,,
00319-4,30 Ø X 130 ALTO,4,WILLIAMS KRUSTAL,,,,,
P99030-3,30 ANCHO X 30 LARGO X 30 ALTO,3,WILLIAMS KRUSTAL,,,,,
P99040-4,40 ANCHO X 40 LARGO X 30 ALTO,4,WILLIAMS KRUSTAL,,,,,
P99050-6,50 ANCHO X 50 LARGO X 30 ALTO,6,WILLIAMS KRUSTAL,,,,,
00311-4,12 ANCHO X 60 ANCHO X 40 ALTO,4,WILLIAMS KRUSTAL,,,,,
00303-4,30 Ø X 80 ALTO,4,WILLIAMS KRUSTAL,,,,,
00303-5,40 Ø X 150 ALTO,5,WILLIAMS KRUSTAL,,,,,
00303-10,70 Ø X 235 ALTO,10,WILLIAMS KRUSTAL,,,,,
MD0038-5,40 ANCHO X 40 LARGO X 150 ALTO,5,WILLIAMS KRUSTAL,,,,,
MD0038-13,60 ANCHO X 60 LARGO X 235 ALTO,13,WILLIAMS KRUSTAL,,,,,
MD0037-10,50 ANCHO X 100 LARGO X 70 ALTO,10,WILLIAMS KRUSTAL,,,,,
12930-4,30 Ø X 55 ALTO,4,WILLIAMS KRUSTAL,,,,,
12940-5,40 Ø X 65 ALTO,5,WILLIAMS KRUSTAL,,,,,
12926-6,50 Ø X 75 ALTO,6,WILLIAMS KRUSTAL,,,,,
12960-9,60 Ø X 85 ALTO,9,WILLIAMS KRUSTAL,,,,,
12970-9,70 Ø x 115 ALTO,9,WILLIAMS KRUSTAL,,,,,
12980-12,80 Ø X 145 ALTO,12,WILLIAMS KRUSTAL,,,,,
12100-13,100 Ø X 180 ALTO,13,WILLIAMS KRUSTAL,,,,,
12976-4,30 Ø X 50 ALTO,4,WILLIAMS KRUSTAL,,,,,
12976-5,40 Ø X 105 ALTO,5,WILLIAMS KRUSTAL,,,,,
G00312-8,50 ANCHO X 50 LARGO X 100 ALTO,8,WILLIAMS KRUSTAL,,,,,
B00312-8,50 ANCHO X 50 LARGO X 100 ALTO,8,WILLIAMS KRUSTAL,,,,,
P95040-2,12 ANCHO X 40 LARGO X 30 ALTO,2,WILLIAMS KRUSTAL,,,,,
P95060-4,12 ANCHO X 60 LARGO X 30 ALTO,4,WILLIAMS KRUSTAL,,,,,
P95080-5,12 ANCHO X 80 LARGO X 30 ALTO,5,WILLIAMS KRUSTAL,,,,,
P22030-4,30 ANCHO X 30 LARGO X 30 ALTO,4,WILLIAMS KRUSTAL,,,,,
P22040-5,40 ANCHO X 40 LARGO X 30 ALTO,5,WILLIAMS KRUSTAL,,,,,
P22050-6,50 ANCHO X 50 LARGO X 30 ALTO,6,WILLIAMS KRUSTAL,,,,,
P44030-4,30 ANCHO X 30 LARGO X 30 ALTO,4,WILLIAMS KRUSTAL,,,,,
P44040-4,40 ANCHO X 40 LARGO X 30 ALTO,4,WILLIAMS KRUSTAL,,,,,
P44050-5,50 ANCHO X 50 LARGO X 30 ALTO,5,WILLIAMS KRUSTAL,,,,,
P11030-3,30 Ø X 35 ALTO,3,WILLIAMS KRUSTAL,,,,,
P11040-4,40 Ø X 35 ALTO,4,WILLIAMS KRUSTAL,,,,,
P11050-5,50 Ø X 35 ALTO,5,WILLIAMS KRUSTAL,,,,,
P50930-3,30 Ø X 30 ALTO,3,WILLIAMS KRUSTAL,,,,,
P50940-4,40 Ø X 30 ALTO,4,WILLIAMS KRUSTAL,,,,,
P50950-6,50 Ø X 30 ALTO,6,WILLIAMS KRUSTAL,,,,,
P70930-3,30 Ø X 30 ALTO,3,WILLIAMS KRUSTAL,,,,,
P70940-4,40 Ø X 30 ALTO,4,WILLIAMS KRUSTAL,,,,,
P70950-6,50 Ø X 30 ALTO,6,WILLIAMS KRUSTAL,,,,,
P10920-3,20 Ø X 30 ALTO,3,WILLIAMS KRUSTAL,,,,,
P10930-4,30 Ø X 30 ALTO,4,WILLIAMS KRUSTAL,,,,,
P10940-5,40 Ø X 30 ALTO,5,WILLIAMS KRUSTAL,,,,,
P10950-6,50 Ø X 30 ALTO,6,WILLIAMS KRUSTAL,,,,,
